Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,URL,WikiWordCount,external_urls,followers,genres,popularity
22,13.00172664,Connie Stevens,Sixteen Reasons,1960,272674,https://en.wikipedia.org/wiki/Connie_Stevens,1205.0,https://open.spotify.com/artist/5dg9jB2sji4asJtjihC9AE,1566.0,brill building pop|deep adult standards,27.0
23,12.62582101,Paul Anka,Puppy Love,1960,1666967,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369.0,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,65.0
66,6.296526022,Paul Anka,It's Time To Cry,1960,109090,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369.0,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,65.0
77,5.687430745,Paul Anka,My Home Town,1960,289664,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369.0,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,65.0
85,5.328236693,Paul Anka,"Tonight My Love, Tonight",1961,339702,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369.0,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,65.0
76,5.736711756,Paul Anka,Love Me Warm And Tender,1962,831928,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369.0,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,65.0
24,12.27610461,Frankie Avalon,Why,1960,378916,https://en.wikipedia.org/wiki/Frankie_Avalon,2080.0,https://open.spotify.com/artist/5zNOI87gG4RttFmYAZWaxQ,20543.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,48.0
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,https://en.wikipedia.org/wiki/The_Ventures,2678.0,https://open.spotify.com/artist/2GaayiIs1kcyNqRXQuzp35,43237.0,brill building pop|classic rock|folk rock|lounge|rock-and-roll|rockabilly|surf music,51.0
90,5.130975533,The Ventures,"Walk, Don't Run '64",1964,62271,https://en.wikipedia.org/wiki/The_Ventures,2678.0,https://open.spotify.com/artist/2GaayiIs1kcyNqRXQuzp35,43237.0,brill building pop|classic rock|folk rock|lounge|rock-and-roll|rockabilly|surf music,51.0
58,6.857053284,The Ventures,Hawaii Five-O,1969,2718842,https://en.wikipedia.org/wiki/The_Ventures,2678.0,https://open.spotify.com/artist/2GaayiIs1kcyNqRXQuzp35,43237.0,brill building pop|classic rock|folk rock|lounge|rock-and-roll|rockabilly|surf music,51.0
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,https://en.wikipedia.org/wiki/The_Drifters,4140.0,https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT,113446.0,adult standards|brill building pop|bubblegum pop|chicago soul|christmas|disco|doo-wop|jazz christmas|mellow gold|memphis soul|motown|quiet storm|rock-and-roll|rockabilly|soul|soul blues|soul christmas|southern soul,65.0
100,4.786300923,The Drifters,Please Stay,1961,374740,https://en.wikipedia.org/wiki/The_Drifters,4140.0,https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT,113446.0,adult standards|brill building pop|bubblegum pop|chicago soul|christmas|disco|doo-wop|jazz christmas|mellow gold|memphis soul|motown|quiet storm|rock-and-roll|rockabilly|soul|soul blues|soul christmas|southern soul,65.0
