Artist,Title,URL
Dick and Dee Dee,The Mountain's High,https://en.wikipedia.org/wiki/The_Mountain%27s_High
Dick and Dee Dee,Tell Me,https://en.wikipedia.org/wiki/Dick_and_Dee_Dee
Floyd Cramer,On The Rebound,https://en.wikipedia.org/wiki/On_the_Rebound
Floyd Cramer,San Antonio Rose,https://en.wikipedia.org/wiki/New_San_Antonio_Rose
Gary U.S. Bonds,Quarter To Three,https://en.wikipedia.org/wiki/Quarter_to_Three
Gary U.S. Bonds,School Is Out,
Gary U.S. Bonds,Dear Lady Twist,
Gary U.S. Bonds,"Twist, Twist Senora",
Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)","https://en.wikipedia.org/wiki/Who_Put_the_Bomp_(in_the_Bomp,_Bomp,_Bomp)"
Chris Kenner,I Like It Like That,https://en.wikipedia.org/wiki/I_Like_It_Like_That_(Chris_Kenner_song)
Jorgen Ingmann,Apache,
Linda Scott,Don't Bet Money Honey,https://en.wikipedia.org/wiki/Don%27t_Bet_Money_Honey
Linda Scott,I've Told Every Little Star,https://en.wikipedia.org/wiki/I%27ve_Told_Ev%27ry_Little_Star
Ferlin Husky,Wings Of A Dove,https://en.wikipedia.org/wiki/Wings_of_a_Dove_(Bob_Ferguson_song)
Marcels,Blue Moon,https://en.wikipedia.org/wiki/Blue_moon
Shep and The Limelites,Daddy's Home,https://en.wikipedia.org/wiki/Daddy%27s_Home_(song)
Troy Shondell,This Time,
"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,https://en.wikipedia.org/wiki/(I_Don%27t_Know_Why)_But_I_Do
Kokomo,Asia Minor,https://en.wikipedia.org/wiki/Asia_Minor_(instrumental)
Faron Young,Hello Walls,https://en.wikipedia.org/wiki/Hello_Walls
Dion,Runaround Sue,https://en.wikipedia.org/wiki/Runaround_Sue
Dion,The Wanderer,https://en.wikipedia.org/wiki/The_Wanderer_(Dion_song)
Dion,Lovers Who Wander,https://en.wikipedia.org/wiki/Lovers_Who_Wander
Dion,Little Diane,https://en.wikipedia.org/wiki/Little_Diane
Dion,Ruby Baby,https://en.wikipedia.org/wiki/Ruby_Baby
Dion,Donna the Prima Donna,https://en.wikipedia.org/wiki/Donna_the_Prima_Donna
Arthur Lyman,Yellow Bird,
Timi Yuro,Hurt,
The Capris,There's A Moon Out Tonight,https://en.wikipedia.org/wiki/The_Capris
The Paris Sisters,I Love How You Love Me,https://en.wikipedia.org/wiki/I_Love_How_You_Love_Me
Lee Dorsey,Ya Ya,https://en.wikipedia.org/wiki/Ya_Ya
Lee Dorsey,Working In The Coal Mine,https://en.wikipedia.org/wiki/Working_in_the_Coal_Mine
