Year,Awards,Title,Artist
2009,Best Instrumental Soloist(s) Performance (with Orchestra),Prokofiev: Piano Concertos Nos. 2 & 3,Vladimir Ashkenazy
2009,Best Instrumental Soloist Performance (without Orchestra),Journey To The New World,Sharon Isbin
2009,Best Chamber Music Performance,Intimate Letters,Emerson String Quartet
2009,Best Small Ensemble Performance,"Lang, David: The Little Match Girl Passion",Paul Hillier
2009,Best Classical Vocal Performance,Verismo Arias,Renée Fleming
2009,Best Classical Contemporary Composition,"Higdon, Jennifer: Percussion Concerto",Jennifer Higdon
2008,Record Of The Year,Please Read The Letter,Alison Krauss
2008,Song Of The Year,Viva La Vida,Coldplay
2008,Best Female Pop Vocal Performance,Chasing Pavements,Adele
2008,Best Male Pop Vocal Performance,Say,John Mayer
2008,Best Pop Performance By A Duo Or Group With Vocals,Viva La Vida,Coldplay
2008,Best Pop Collaboration With Vocals,Rich Woman,Alison Krauss
2008,Best Pop Instrumental Performance,I Dreamed There Was No War,Eagles
2008,Best Dance Recording,Harder Better Faster Stronger,Daft Punk
2008,Best Solo Rock Vocal Performance,Gravity,John Mayer
2008,Best Rock Performance By A Duo Or Group With Vocals,Sex On Fire,Kings Of Leon
2008,Best Hard Rock Performance,Wax Simulacra,Mars Volta
2008,Best Metal Performance,My Apocalypse,Metallica
2008,Best Rock Instrumental Performance,Peaches En Regalia,Napoleon Brock
2008,Best Rock Song,Girls In Their Summer Clothes,Bruce Springsteen
2008,Best Female R&B Vocal Performance,Superwoman,Alicia Keys
2008,Best Male R&B Vocal Performance,Miss Independent,Ne-Yo
2008,Best R&B Performance By A Duo Or Group With Vocals,Stay With Me (By The Sea),Al Green
2008,Best Traditional R&B Vocal Performance,You've Got The Love I Need,Al Green
2008,Best Urban/Alternative Performance,Be OK,Chrisette Michele
2008,Best R&B Song,Miss Independent,Mikkel Eriksen
2008,Best Rap Solo Performance,A Milli,Lil Wayne
2008,Best Rap Performance By A Duo Or Group,Swagga Like Us,Jay-Z
2008,Best Rap/Sung Collaboration,American Boy,Estelle
2008,Best Rap Song,Lollipop,"Darius ""Deezle"" Harrison"
2008,Best Female Country Vocal Performance,Last Name,Carrie Underwood
2008,Best Male Country Vocal Performance,Letter To Me,Brad Paisley
2008,Best Country Performance By A Duo Or Group With Vocals,Stay,Sugarland
2008,Best Country Collaboration With Vocals,Killing The Blues,Alison Krauss
2008,Best Country Instrumental Performance,Cluster Pluck,Albert Lee
2008,Best Country Song,Stay,Jennifer Nettles
2008,Best Jazz Instrumental Solo,Be-Bop,Terence Blanchard
2008,Best Gospel Performance,Get Up,Mary Mary
2008,Best Gospel Song,Help Me Believe,Kirk Franklin
2008,"Best Song Written For Motion Picture, Television Or Other Visual Media",Down To Earth,Peter Gabriel
2008,Best Instrumental Composition,The Adventures Of Mutt,John Williams
2008,Best Instrumental Arrangement,Define Dancing,Peter Gabriel
2008,Best Instrumental Arrangement Accompanying Vocalist(s),Here's That Rainy Day,Nan Schwartz
2008,"Best Remixed Recording, Non-Classical",Electric Feel (Justice Remix),Justice
2008,Best Orchestral Performance,Shostakovich: Symphony No. 4,Bernard Haitink
2008,Best Opera Recording,Weill: Rise And Fall Of The City Of Mahagonny,James Conlon
2008,Best Choral Performance,Symphony Of Psalms,Simon Halsey
2008,Best Instrumental Soloist(s) Performance (with Orchestra),Schoenberg/Sibelius: Violin Concertos,Esa-Pekka Salonen
2008,Best Instrumental Soloist Performance (without Orchestra),"Piano Music Of Salonen, Stucky, And Lutoslawski",Gloria Cheng
2008,Best Chamber Music Performance,"Carter, Elliott: String Quartets Nos. 1 And 5",Pacifica Quartet
2008,Best Small Ensemble Performance,Spotless Rose: Hymns To The Virgin Mary,Charles Bruffy
2008,Best Classical Vocal Performance,Corigliano: Mr. Tambourine Man: Seven Poems Of Bob Dylan,Hila Plitmann
2008,Best Classical Contemporary Composition,Mr. Tambourine Man: Seven Poems Of Bob Dylan,John Corigliano
2007,Record Of The Year,Rehab,Amy Winehouse
2007,Song Of The Year,Rehab,Amy Winehouse
2007,Best Female Pop Vocal Performance,Rehab,Amy Winehouse
2007,Best Male Pop Vocal Performance,What Goes Around...Comes Around,Justin Timberlake
2007,Best Pop Performance By A Duo Or Group With Vocals,Makes Me Wonder,Maroon 5
2007,Best Pop Collaboration With Vocals,Gone Gone Gone (Done Moved On),Alison Krauss
2007,Best Pop Instrumental Performance,One Week Last Summer,Joni Mitchell
2007,Best Dance Recording,LoveStoned/I Think She Knows,Justin Timberlake
2007,Best Solo Rock Vocal Performance,Radio Nowhere,Bruce Springsteen
2007,Best Rock Performance By A Duo Or Group With Vocals,Icky Thump,White Stripes
2007,Best Hard Rock Performance,The Pretender,Foo Fighters
2007,Best Metal Performance,Final Six,Slayer
2007,Best Rock Instrumental Performance,Once Upon A Time In The West,Bruce Springsteen
2007,Best Rock Song,Radio Nowhere,Bruce Springsteen
2007,Best Female R&B Vocal Performance,No One,Alicia Keys
2007,Best Male R&B Vocal Performance,Future Baby Mama,Prince
2007,Best R&B Performance By A Duo Or Group With Vocals,Disrespectful,Chaka Khan
2007,Best Traditional R&B Vocal Performance,In My Songs,Gerald Levert
2007,Best Urban/Alternative Performance,Daydreamin',Jill Scott
2007,Best R&B Song,No One,Alicia Keys
2007,Best Rap Solo Performance,Stronger,Kanye West
2007,Best Rap Performance By A Duo Or Group,Southside,Kanye West
2007,Best Rap/Sung Collaboration,Umbrella,Rihanna
2007,Best Rap Song,Good Life,Aldrin Davis
2007,Best Female Country Vocal Performance,Before He Cheats,Carrie Underwood
2007,Best Male Country Vocal Performance,Stupid Boy,Keith Urban
2007,Best Country Performance By A Duo Or Group With Vocals,How Long,Eagles
2007,Best Country Collaboration With Vocals,Lost Highway,Ray Price
2007,Best Country Instrumental Performance,Throttleneck,Brad Paisley
2007,Best Country Song,Before He Cheats,Chris Tompkins
2007,Best Jazz Instrumental Solo,Anagram,Michael Brecker
2007,Best Gospel Performance,Never Gonna Break My Faith,Aretha Franklin
2007,Best Gospel Performance,Blessed & Highly Favored,The Clark Sisters
2007,Best Gospel Song,Blessed & Highly Favored,Karen Clark-Sheard
2007,"Best Song Written For Motion Picture, Television Or Other Visual Media",Love You I Do,Henry Krieger
2007,Best Instrumental Composition,Cerulean Skies,Maria Schneider
2007,Best Instrumental Arrangement,In A Silent Way,Vincent Mendoza
2007,Best Instrumental Arrangement Accompanying Vocalist(s),I'm Gonna Live Till I Die,John Clayton
2007,"Best Remixed Recording, Non-Classical",Bring The Noise (Benny Benassi Sfaction Remix),Benny Benassi
2007,Best Orchestral Performance,Tower: Made In America,Leonard Slatkin
2007,Best Opera Recording,Humperdinck: Hansel & Gretel,Sir Charles Mackerras
2007,Best Choral Performance,Brahms: Ein Deutsches Requiem,Simon Halsey
2007,Best Instrumental Soloist(s) Performance (with Orchestra),Barber/Korngold/Walton: Violin Concertos,Bramwell Tovey
2007,Best Instrumental Soloist Performance (without Orchestra),"Beethoven Sonatas, Vol. 3",Garrick Ohlsson
2007,Best Chamber Music Performance,Strange Imaginary Animals,Eighth Blackbird
2007,Best Small Ensemble Performance,"Stravinsky: Apollo, Concerto In D; Prokofiev: 20 Visions Fugitives",Yuri Bashmet
2007,Best Classical Vocal Performance,Lorraine Hunt Lieberson Sings Peter Lieberson: Neruda Songs,Lorraine Hunt Lieberson
2007,Best Classical Contemporary Composition,Made In America,Joan Tower
2006,Record Of The Year,Not Ready To Make Nice,Dixie Chicks
2006,Song Of The Year,Not Ready To Make Nice,Dan Wilson
2006,Best Female Pop Vocal Performance,Ain't No Other Man,Christina Aguilera
2006,Best Male Pop Vocal Performance,Waiting On The World To Change,John Mayer
2006,Best Pop Performance By A Duo Or Group With Vocal,My Humps,The Black Eyed Peas
2006,Best Pop Collaboration With Vocals,For Once In My Life,Stevie Wonder
2006,Best Pop Instrumental Performance,Mornin',George Benson
2006,Best Dance Recording,Sexy Back,Justin Timberlake
2006,Best Solo Rock Vocal Performance,Someday Baby,Bob Dylan
2006,Best Rock Performance By A Duo Or Group With Vocal,Dani California,Red Hot Chili Peppers
2006,Best Hard Rock Performance,Woman,Wolfmother
2006,Best Metal Performance,Eyes Of The Insane,Slayer
2006,Best Rock Instrumental Performance,The Wizard Turns On...,The Flaming Lips
2006,Best Rock Song,Dani California,Anthony Kiedis
2006,Best Female R&B Vocal Performance,Be Without You,Mary J. Blige
2006,Best Male R&B Vocal Performance,Heaven,John Legend
2006,Best R&B Performance By A Duo Or Group With Vocals,Family Affair,John Legend
2006,Best Traditional R&B Vocal Performance,God Bless The Child,Al Jarreau
2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley
2006,Best R&B Song,Be Without You,Bryan Michael Cox
2006,Best Rap Solo Performance,What You Know,T.I.
2006,Best Rap Performance By A Duo Or Group,Ridin,Chamillionaire
