Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
61,6.632577127,Ricky Nelson,Fools Rush In,1963,528037,4885,61434,56,,-1.0141619139966185
65,6.360293906,Ricky Nelson,For You,1964,91338,4885,61434,56,,-2.861282438203565
86,5.287264321,Johnny Burnette,Dreamin',1960,9887,2915,8584,42,rockabilly,-3.6569647491138806
87,5.247075258,Johnny Tillotson,Poetry In Motion,1960,2176650,1278,10331,49,,1.2127452307503308
37,9.225435187999999,Johnny Tillotson,Without You,1961,146415,1278,10331,49,,-1.5788730690633148
18,14.84294734,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127,1278,10331,49,pop,-1.156062759276102
88,5.207645782,Annette Funicello,O Dio Mio,1960,5450,2449,1970,30,,-3.348510764153245
89,5.168953147,Joe Jones,You Talk Too Much,1960,150648,420,3199,38,r&b,-0.6977473792989191
90,5.130975533,Johnny and The Hurricanes,Beatnik Fly,1960,6058,708,3877,37,,-3.831386276592262
92,5.057082445,Bob Luman,Let's Think About Livin',1960,330483,651,1806,35,rockabilly,0.357954809666273
93,5.021127552,Guy Mitchell,Heartaches By The Number,1960,243434,604,5420,44,country,-0.6370604739208154
97,4.883493965,Barrett Strong,Money,1960,7941207,758,5145,46,,2.732906769231157
98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,6296,49,doo-wop,3.307431284490116
99,4.818155049,Charlie Rich,Lonely Weekends,1960,306801,2214,35430,53,,-1.0809995573164954
100,4.786300923,Larry Hall,Sandy,1960,13843,326,281,28,,-2.238627265687155
1,100.0,Bobby Lewis,Tossin' And Turnin',1961,185664,220,564,26,r&b,0.3176346401337433
75,5.787081067999999,Bobby Lewis,One Track Mind,1961,10065,220,564,26,,-2.5972398892734407
2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,201170,62,"country, traditional pop",1.4386136909469638
78,5.63920084,Patsy Cline,She's Got You,1962,4593182,8503,201170,62,"country, traditional pop",0.7790133316534575
3,48.42838339,The Highwaymen,Michael,1961,345821,1027,91680,58,,-1.5059200441661886
36,9.393779234,The Highwaymen,Cotton Fields,1962,59450,1027,91680,58,,-3.3592267996830856
5,34.56844127,Del Shannon,Runaway,1961,14372962,2195,40589,53,rock and roll,2.661728091923944
68,6.173680038,Del Shannon,Hats Off To Larry,1961,147026,2195,40589,53,rock and roll,-1.9207665478904428
100,4.786300923,Del Shannon,Little Town Flirt,1963,367176,2195,40589,53,pop rock,-1.1905768496514515
99,4.818155049,Del Shannon,Keep Searchin' (We'll Follow the Sun),1965,865291,2195,40589,53,rock and roll,-0.5183944372499703
6,30.6492728,The Jive Five,My True Story,1961,549734,807,1910,31,doo-wop,1.046248030935807
8,25.34898699,The String-A-Longs,Wheels,1961,254594,352,356,24,,0.830006911982645
9,23.45308318,Dee Clark,Raindrops,1961,36195,651,1660,24,r&b,-1.2123280681389694
10,21.87761624,Joe Dowell,Wooden Heart,1961,76204,295,84,12,,0.525390170620339
