,Artist,Title,URL,GenreRaw
229,Ferlin Husky,Wings Of A Dove,https://en.wikipedia.org/wiki/Wings_of_a_Dove_(Bob_Ferguson_song),country
230,Marcels,Blue Moon,https://en.wikipedia.org/wiki/Blue_moon,
231,Shep and The Limelites,Daddy's Home,https://en.wikipedia.org/wiki/Daddy%27s_Home_(song),r&b
232,Troy Shondell,This Time,,
233,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,https://en.wikipedia.org/wiki/(I_Don%27t_Know_Why)_But_I_Do,"r&b, swamp pop, country"
234,Kokomo,Asia Minor,https://en.wikipedia.org/wiki/Asia_Minor_(instrumental),"rock, classical"
235,Faron Young,Hello Walls,https://en.wikipedia.org/wiki/Hello_Walls,country
236,Dion,Runaround Sue,https://en.wikipedia.org/wiki/Runaround_Sue,"doo-wop, rock and roll"
237,Dion,The Wanderer,https://en.wikipedia.org/wiki/The_Wanderer_(Dion_song),"rhythm and blues, pop, rock and roll"
238,Dion,Lovers Who Wander,https://en.wikipedia.org/wiki/Lovers_Who_Wander,rock and roll
239,Dion,Little Diane,https://en.wikipedia.org/wiki/Little_Diane,rock and roll
240,Dion,Ruby Baby,https://en.wikipedia.org/wiki/Ruby_Baby,
241,Dion,Donna the Prima Donna,https://en.wikipedia.org/wiki/Donna_the_Prima_Donna,rock and roll
242,Arthur Lyman,Yellow Bird,,
243,Timi Yuro,Hurt,,
244,The Capris,There's A Moon Out Tonight,https://en.wikipedia.org/wiki/The_Capris,
245,The Paris Sisters,I Love How You Love Me,https://en.wikipedia.org/wiki/I_Love_How_You_Love_Me,pop
246,Lee Dorsey,Ya Ya,https://en.wikipedia.org/wiki/Ya_Ya,"soul, rock and roll"
247,Lee Dorsey,Working In The Coal Mine,https://en.wikipedia.org/wiki/Working_in_the_Coal_Mine,r&b
248,Bob Moore,Mexico,https://en.wikipedia.org/wiki/Mexico_(instrumental),"pop, country"
249,Ral Donner,You Don't Know What You've Got (Until You Lose It),https://en.wikipedia.org/wiki/You_Don%27t_Know_What_You%27ve_Got,
250,The Lettermen,The Way You Look Tonight,https://en.wikipedia.org/wiki/The_Way_You_Look_Tonight,"pop, jazz"
251,The Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,https://en.wikipedia.org/wiki/Can%27t_Take_My_Eyes_Off_You,
252,The Lettermen,Hurt So Bad,https://en.wikipedia.org/wiki/Hurt_So_Bad,
253,Pat Boone,Moody River,https://en.wikipedia.org/wiki/Moody_River,country pop
254,Pat Boone,Speedy Gonzales,https://en.wikipedia.org/wiki/Speedy_Gonzales,
255,Adam Wade,Take Good Care Of Her,https://en.wikipedia.org/wiki/Take_Good_Care_of_Her,pop
256,Adam Wade,The Writing On The Wall,https://en.wikipedia.org/wiki/The_Writing_on_the_Wall_(Adam_Wade_song),
257,Carla Thomas,Gee Whiz (Look At His Eyes),,
258,Carla Thomas,B-A-B-Y,https://en.wikipedia.org/wiki/B-A-B-Y,"r&b, pop"
259,Ben E. King,Stand By Me,https://en.wikipedia.org/wiki/Stand_by_Me_(song),"rhythm and blues, soul"
260,Ben E. King,Spanish Harlem,https://en.wikipedia.org/wiki/Spanish_Harlem_(song),soul
261,Ike and Tina Turner,It's Gonna Work Out Fine,https://en.wikipedia.org/wiki/It%27s_Gonna_Work_Out_Fine,"rock & roll, r&b"
262,The Echoes,Baby Blue,,
263,Buzz Clifford,Baby Sittin' Boogie,https://en.wikipedia.org/wiki/Baby_Sittin%27_Boogie,pop
264,Little Caesar and The Romans,Those Oldies But Goodies,,
265,Bert Kaempfert,Wonderland By Night,https://en.wikipedia.org/wiki/Wonderland_by_Night,jazz
266,Bert Kaempfert,Red Roses for a Blue Lady,https://en.wikipedia.org/wiki/Red_Roses_for_a_Blue_Lady,
267,Tony Orlando,Bless You,,
268,Rosie and The Originals,Angel Baby,https://en.wikipedia.org/wiki/Angel_Baby_(Rosie_and_the_Originals_song),doo-wop
269,Curtis Lee,Pretty Little Angel Eyes,https://en.wikipedia.org/wiki/Pretty_Little_Angel_Eyes,"pop, doo-wop"
