Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Grammy,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
86,5.287264321,Johnny Burnette,Dreamin',1960,9887,2915,8584,42,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
87,5.247075258,Johnny Tillotson,Poetry In Motion,1960,2176650,1278,10331,49,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
37,9.225435188,Johnny Tillotson,Without You,1961,146415,1278,10331,49,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
18,14.84294734,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127,1278,10331,49,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
88,5.207645782,Annette Funicello,O Dio Mio,1960,5450,2449,1970,30,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
89,5.168953147,Joe Jones,You Talk Too Much,1960,150648,420,3199,38,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
90,5.130975533,Johnny and The Hurricanes,Beatnik Fly,1960,6058,708,3877,37,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
92,5.057082445,Bob Luman,Let's Think About Livin',1960,330483,651,1806,35,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
93,5.021127552,Guy Mitchell,Heartaches By The Number,1960,243434,604,5420,44,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
97,4.883493965,Barrett Strong,Money,1960,7941207,758,5145,46,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,6296,49,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
99,4.818155049,Charlie Rich,Lonely Weekends,1960,306801,2214,35430,53,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
100,4.786300923,Larry Hall,Sandy,1960,13843,326,281,28,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
1,100,Bobby Lewis,Tossin' And Turnin',1961,185664,220,564,26,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
75,5.787081068,Bobby Lewis,One Track Mind,1961,10065,220,564,26,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,201170,62,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
78,5.63920084,Patsy Cline,She's Got You,1962,4593182,8503,201170,62,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
3,48.42838339,The Highwaymen,Michael,1961,345821,1027,91680,58,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
