,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
996,62,6.561777272,Tyrone Davis,Can I Change My Mind,1969,1826388,700,,,,
444,50,7.562750921,The Four Seasons,Candy Girl,1963,1216330,4256,,,,
483,52,7.369496097,The Beatles,Can't Buy Me Love,1964,26066160,14112,,,,
131,11,20.54380234,Andy Williams,Can't Get Used To Losing You,1963,2633306,3980,,,,
29,57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19509,,,,
819,10,21.87761624,Frankie Valli,Can't Take My Eyes Off You,1967,34519703,2457,,,,
635,8,25.34898699,Herman's Hermits,Can't You Hear My Heartbeat,1965,594503,2048,,,,
529,67,6.234342105,The Dave Clark Five,Can't You See That She's Mine,1964,5883,1911,,,,
316,24,12.27610461,Jay and The Americans,Cara Mia,1965,801564,978,,,,
766,64,6.425711417,The Hollies,Carrie Ann,1967,5012889,5105,,,,
657,26,11.64441273,Sounds Orchestral,Cast Your Fate to the Wind,1965,183364,821,,,,
2,3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,,,,
90,29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2895,,,,
526,21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,,,,
715,2,63.2878297,The Association,Cherish,1966,1293933,3791,,,,
160,79,5.59198657,Skip and Flip,Cherry Pie,1960,21703,429,,,,
788,75,5.787081068,Neil Diamond,"Cherry, Cherry",1966,2762644,5853,,,,
1004,75,5.787081068,Joe Simon,Chokin' Kind,1969,390349,2638,,,,
597,82,5.456106733,Roger Miller,Chug-a-Lug,1964,1614734,3536,,,,
353,69,6.114481004,Johnny Crawford,Cindy's Birthday,1962,97730,1048,,,,
878,71,6.000251993,Peaches and Herb,Close Your Eyes,1967,334016,1567,,,,
569,54,7.188199443,Bobby Freeman,C'mon and Swim,1964,14701,581,,,,
880,77,5.687430745,James Brown and The Famous Flames,Cold Sweat,1967,3386760,3416,,,,
315,29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,,,,
428,94,4.985808764,Martha and The Vandellas,Come and Get These Memories,1963,447078,2807,,,,
828,15,16.74093727,Bobby Vee and The Strangers,Come Back When You Grow Up,1967,290138,1614,,,,
837,22,13.00172664,Every Mothers' Son,Come On Down To My Boat,1967,325371,671,,,,
499,85,5.328236693,The Beatles,Come Together,1969,87467921,14112,,,,
21,70,6.056689273,Brenda Lee,Coming On Strong,1966,69312,2547,,,,
758,36,9.393779234,The Capitols,Cool Jerk,1966,1499894,879,,,,
520,84,5.370017132,Al Hirt,Cotton Candy,1964,45946,961,,,,
190,36,9.393779234,The Highwaymen,Cotton Fields,1962,59450,1027,,,,
650,61,6.632577127,Gary Lewis and The Playboys,Count Me In,1965,504105,972,,,,
922,32,10.15315495,The Intruders,Cowboys To Girls,1968,1929779,1068,,,,
9,45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,444,,,,
740,10,21.87761624,Tommy James and The Shondells,Crimson And Clover,1969,11905252,1387,,,,
449,53,7.277428145,Garnet Mimms and the Enchanters,Cry Baby,1963,482015,844,,,,
809,16,16.04282372,The Box Tops,Cry Like A Baby,1968,614571,1953,,,,
32,9,23.45308318,Elvis Presley,Crying in the Chapel,1965,4109700,19509,,,,
7,47,7.877989793,The Everly Brothers,Crying In The Rain,1962,3014478,4114,,,,
741,12,19.39725958,Tommy James and The Shondells,Crystal Blue Persuasion,1969,3143091,1387,,,,
356,56,7.017717833,The Crystals,Da Doo Ron Ron,1963,6562159,1856,,,,
233,41,8.621099442,Shep and The Limelites,Daddy's Home,1961,45157,511,,,,
909,20,13.84586851,Sly and The Family Stone,Dance To The Music,1968,22774230,4729,,,,
429,17,15.41358678,Martha and The Vandellas,Dancing in the Street,1964,34044681,2807,,,,
640,91,5.093692001,Herman's Hermits,Dandy,1966,74173,2048,,,,
446,25,11.94977132,The Four Seasons,Dawn (Go Away),1964,2451009,4256,,,,
703,41,8.621099442,The Lovin' Spoonful,Daydream,1966,9579486,2804,,,,
723,94,4.985808764,The Monkees,Daydream Believer,1967,20192730,18620,,,,
344,48,7.769280177,Henry Mancini,Days Of Wine and Roses,1963,286425,2486,,,,
424,28,11.08857401,Jan and Dean,Dead Man's Curve,1964,524590,4719,,,,
224,32,10.15315495,Gary U.S. Bonds,Dear Lady Twist,1962,24726,753,,,,
360,79,5.59198657,Larry Finnegan,Dear One,1962,305231,186,,,,
200,14,17.52086311,The Shirelles,Dedicated To The One I Love,1961,1401322,2186,,,,
726,62,6.561777272,The Mamas and The Papas,Dedicated To The One I Love,1967,5455493,5544,,,,
662,66,6.296526022,Tom Jones,Delilah,1968,11990628,4556,,,,
432,33,9.949031357,Randy and The Rainbows,Denise,1963,639192,409,,,,
135,59,6.780124557,Bobby Vee,Devil Or Angel,1960,717957,1614,,,,
756,32,10.15315495,Mitch Ryder and the Detroit Wheels,Devil with a Blue Dress On/Good Golly Miss Molly,1966,507896,827,,,,
572,59,6.780124557,The Bachelors,Diane,1964,228483,1206,,,,
704,57,6.936215781,The Lovin' Spoonful,Did You Ever Have to Make Up Your Mind?,1966,1096472,2804,,,,
770,49,7.664266318,The Standells,Dirty Water,1966,1416973,2082,,,,
