,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
117,30,10.59497587,Steve Lawrence,Portrait Of My Love,1961,61982,1304,,,,
118,91,5.093692001,Steve Lawrence,Go Away Little Girl,1963,208416,1304,,,,
119,40,8.762749681,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729,1289,,,,
120,94,4.985808764,Anita Bryant,In My Little Corner Of The World,1960,15789,2722,,,,
121,42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,,,,
122,44,8.228510611,Fendermen,Mule Skinner Blues,1960,257280,230,,,,
123,46,7.990608098,Marv Johnson,You've Got What It Takes,1960,53493,1131,,,,
124,65,6.360293906,Marv Johnson,I Love The Way You Love,1960,27503,1131,,,,
125,47,7.877989793,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831,601,,,,
126,48,7.769280177,Ron Holden,Love You So,1960,27102,391,,,,
127,49,7.664266318,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730,825,,,,
128,50,7.562750921,Platters,Harbor Lights,1960,787854,2324,,,,
129,51,7.4645509,Billy Bland,Let The Little Girl Dance,1960,11473647,265,,,,
130,52,7.369496097,Jeanne Black,He'll Have To Stay,1960,45318,234,,,,
131,53,7.277428145,Ferrante and Teicher,Theme From The Apartment,1960,131144,1231,,,,
133,55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,,,,
134,56,7.017717833,Andy Williams,The Village Of St. Bernadette,1960,83052,3980,,,,
135,11,20.54380234,Andy Williams,Can't Get Used To Losing You,1963,2633306,3980,,,,
136,96,4.917008807,Andy Williams,A Fool Never Learns,1964,137312,3980,,,,
137,57,6.936215781,The Browns,The Old Lamplighter,1960,62470,707,,,,
138,58,6.857053284,Bill Black's Combo,White Silver Sands,1960,30065,2017,,,,
139,59,6.780124557,Bobby Vee,Devil Or Angel,1960,717957,1614,,,,
140,12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,,,,
141,89,5.168953147,Bobby Vee,Rubber Ball,1961,1688587,1614,,,,
